model,precision,top1_%,top5_%,loss,params_M,size_MB
AlexNet_FP32,FP32,27.297908067703247,53.652119636535645,3.2523984909057617,57.82324,661.7540874481201
AlexNetSmall_FP32,FP32,8.68409276008606,25.364530086517334,4.366366386413574,1.602376,18.353193283081055
AlexNet3x3_FP32,FP32,6.817907094955444,21.19779735803604,4.5560994148254395,57.605128,659.2578678131104
alexnet_fp32_INT8,INT8,30.222785472869873,56.78405165672302,3.1109423637390137,57.82324,55.33271598815918
alexnet_small_kernel_INT8,INT8,9.53345075249672,27.48209834098816,4.314065456390381,1.602376,1.5610408782958984
alexnet_3x3_INT8,INT8,7.934053987264633,23.476462066173553,4.45623779296875,57.605128,55.124595642089844
