hybrid,hybrid_top1,parent_alexnet_bottleneck_top1,parent_alexnet_fire_top1,best_parent_top1,delta_vs_best_parent,parent_alexnet_residual_top1,parent_alexnet_depthwisesep_top1
alexnet_final_bottleneck_fire,42.28608012199402,44.62297856807709,43.976473808288574,44.62297856807709,-2.336898446083069,,
alexnet_final_fire_residual,49.793291091918945,,43.976473808288574,48.01293909549713,1.780351996421814,48.01293909549713,
alexnet_final_bottleneck_residual,45.09960114955902,44.62297856807709,,48.01293909549713,-2.9133379459381104,48.01293909549713,
alexnet_final_depthwise_fire,43.45587491989136,,43.976473808288574,44.390010833740234,-0.934135913848877,,44.390010833740234
