phase,model_name,avg_epoch_time_s,best_val_loss,best_val_top1,best_val_top5,compression_ratio,epochs,final_train_loss,final_val_top1,final_val_top5,flops,fp32_latency_ms_per_image,fp32_loss,fp32_size_mb,fp32_throughput_img_per_s,fp32_top1,fp32_top1_top5_gap,fp32_top5,int8_latency_ms_per_image,int8_loss,int8_size_mb,int8_throughput_img_per_s,int8_top1,int8_top1_top5_gap,int8_top5,macs,mode,param_efficiency_top1_per_m,params_m,peak_gpu_mem_mb,quantization_drop_top1,total_training_time_s
Phase 1 — Baselines,alexnet_tv,48.01129863963408,3.3857726776123047,32.94,58.19,11.959567876498717,79,3.3926777213939054,32.84,58.31,189736832,0.13480625230004079,2.993847608566284,661.7541408538818,7418.053561598028,32.88792073726654,25.331810116767883,58.219730854034424,0.6617911908999304,3.041804075241089,55.33261299133301,1511.050636138205,31.90320134162903,25.3342866897583,57.23748803138733,94868416,fp32+qat+int8,0.5696671442139873,57.82324,1409.85888671875,0.9847193956375122,4176.509352207184
Phase 1 — Baselines,mobilenetv2,32.87225328069745,2.3661529296875,58.07,81.5,,27,2.13362482160457,57.8,81.28,51599872,0.13218055479992472,1.7545263767242432,28.751924514770508,7565.4093108751995,57.99558162689209,23.519402742385864,81.51498436927795,,,,,,,,25799936,fp32+qat+int8,23.414642800692885,2.480072,536.681640625,,1087.8419904708862
Phase 1 — Baselines,resnet18_tv,28.283485071999685,2.561282373046875,53.98,77.8,,15,2.1474861896902873,52.26,76.84,297111552,0.12763997450001624,1.9659439325332642,129.20868110656738,7834.536193830661,53.91363501548767,23.883849382400513,77.79748439788818,,,,,,,,148555776,fp32+qat+int8,4.7858377503477225,11.279112,541.72900390625,,598.3862891197205
Phase 1 — Baselines,vgg_style,29.492008917471942,2.725707002258301,51.85,75.83,11.606334118999067,62,2.1750824637128146,51.68,75.68,462172160,0.13071144740006277,2.0700058937072754,27.58481216430664,7650.439344760251,51.81480646133423,24.06688928604126,75.88169574737549,1.3151550196000243,2.093930959701538,2.3767032623291016,760.3666374661507,51.188743114471436,24.331331253051758,75.5200743675232,231086080,fp32+qat+int8,21.556670136798587,2.405288,504.4853515625,0.626063346862793,2009.6125140190125
Phase 2 — AlexNet Variants,alexnet_2x2,20.96354306827892,3.5567925559997557,30.09,55.51,11.59893370795996,27,3.6671850621954647,29.42,55.13,73084928,0.09340629540020018,3.16207218170166,12.062768936157227,10705.916509326167,30.023813247680664,25.530046224594116,55.55385947227478,0.3325432800997078,3.104257822036743,1.0399894714355469,3007.127372112785,30.88858127593994,25.594431161880493,56.483012437820435,36542464,fp32+qat+int8,28.582447394618256,1.052744,773.8046875,-0.8647680282592773,693.1987240314484
Phase 2 — AlexNet Variants,alexnet_3x3,47.231611251831055,3.3482005210876467,35.85,61.33,11.959417447684807,32,2.8430790211025037,35.23,61.32,444563456,0.09834567809994041,2.884495735168457,659.2580509185791,10168.215007717821,35.78716218471527,25.495043396949768,61.28220558166504,0.9284562449996883,2.861196279525757,55.124595642089844,1077.056679176449,36.19011640548706,25.792628526687622,61.98274493217468,222281728,fp32+qat+int8,0.6223404277480297,57.605128,1809.38427734375,-0.40295422077178955,1838.8481831550598
Phase 2 — AlexNet Variants,alexnet_mixed,20.932723719140757,3.2005847831726073,38.7,64.76,11.754865001521361,40,3.210815474285001,38.33,65.16,161585152,0.09355670680015464,2.6837058067321777,20.042604446411133,10688.704575034775,38.74005675315857,26.085716485977173,64.82577323913574,0.46981944729996034,2.7242045402526855,1.705047607421875,2128.4772389626974,37.99386024475098,25.80820322036743,63.80206346511841,80792576,fp32+qat+int8,22.113982436812297,1.750024,786.240234375,0.7461965084075928,965.082722902298
Phase 2 — AlexNet Variants,alexnet_small_kernel,23.737231137260558,2.968019856262207,45.84,70.95,11.757101052618717,57,2.8692005884596496,45.04,70.68,920358912,0.15097547709992795,2.3493072986602783,18.353315353393555,6623.592249608312,45.836564898490906,25.240370631217957,71.07693552970886,1.7202708196997263,3.1197876930236816,1.5610408782958984,581.3038206243307,35.94608008861542,25.66123902797699,61.60731911659241,460179456,fp32+qat+int8,28.60751783601352,1.602376,893.736328125,9.890484809875488,1498.8661177158356
Phase 2 — AlexNet Variants,alexnet_stacked,57.80048368925072,2.890999200439453,44.63,70.77,11.947464849715063,77,2.6369916802619295,44.61,70.83,1012170752,0.14089652559996466,2.386047124862671,692.2546691894531,7097.407091777505,44.5596843957901,26.23203694820404,70.79172134399414,1.7811534354001195,2.470658302307129,57.94155311584473,561.4339450634466,42.79284477233887,25.921332836151123,68.71417760848999,506085376,fp32+qat+int8,0.7378813853110451,60.483976,1864.59130859375,1.766839623451233,4902.867258548737
Phase 2 — AlexNet Variants,alexnet_tv,47.39416534022281,3.754711817932129,24.27,49.21,11.959567876498717,13,3.9761897366213086,24.13,48.26,189736832,0.0956599326000287,3.4389357566833496,661.7541408538818,10453.697518073517,24.28814321756363,24.927230179309845,49.215373396873474,0.516378368200094,3.3020150661468506,55.33261299133301,1936.564468193418,26.27626061439514,25.475984811782837,51.75224542617798,94868416,fp32+qat+int8,0.4197274313926373,57.82324,1815.32568359375,-1.9881173968315125,925.3677396774292
