phase,experiment,model,stage,runtime,host,git_hash,path,top1,size_mb
phase_3,phase_3_compensation_and_hybrids,alexnet_residual,qat,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/qat_alexnet_residual_meta.json,48.26,
phase_3,phase_3_compensation_and_hybrids,alexnet_se,fp32,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/alexnet_se_meta.json,0.43,
phase_4,phase_4_compression_and_final_architecture,alexnet_final_bottleneck_fire,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/alexnet_final_bottleneck_fire_meta.json,49.81,6.17
phase_4,phase_4_compression_and_final_architecture,alexnet_final_bottleneck_fire,qat,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/qat_alexnet_final_bottleneck_fire_meta.json,50.87,6.29
phase_4,phase_4_compression_and_final_architecture,alexnet_final_bottleneck_residual,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/alexnet_final_bottleneck_residual_meta.json,50.04,6.98
phase_4,phase_4_compression_and_final_architecture,alexnet_final_bottleneck_residual,qat,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/qat_alexnet_final_bottleneck_residual_meta.json,51.36,7.15
phase_4,phase_4_compression_and_final_architecture,alexnet_final_depthwise_fire,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/alexnet_final_depthwise_fire_meta.json,43.97,5.78
phase_4,phase_4_compression_and_final_architecture,alexnet_final_depthwise_fire,qat,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/qat_alexnet_final_depthwise_fire_meta.json,45.52,5.89
phase_4,phase_4_compression_and_final_architecture,alexnet_final_fire_residual,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/alexnet_final_fire_residual_meta.json,49.78,8.49
phase_4,phase_4_compression_and_final_architecture,alexnet_final_fire_residual,qat,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/qat_alexnet_final_fire_residual_meta.json,49.65,8.64
phase_4,phase_4_compression_and_final_architecture,binary_qat_alexnet_bottleneck,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/binary_qat_alexnet_bottleneck_meta.json,12.19,
phase_4,phase_4_compression_and_final_architecture,binary_qat_alexnet_depthwisesep,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/binary_qat_alexnet_depthwisesep_meta.json,4.59,
phase_4,phase_4_compression_and_final_architecture,binary_qat_alexnet_final_fire_residual,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/binary_qat_alexnet_final_fire_residual_meta.json,16.89,
phase_4,phase_4_compression_and_final_architecture,binary_qat_alexnet_fire,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/binary_qat_alexnet_fire_meta.json,15.81,
phase_4,phase_4_compression_and_final_architecture,binary_qat_mobilenetv2,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/binary_qat_mobilenetv2_meta.json,3.47,
phase_4,phase_4_compression_and_final_architecture,int2_qat_alexnet_bottleneck,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/int2_qat_alexnet_bottleneck_meta.json,19.97,
phase_4,phase_4_compression_and_final_architecture,int2_qat_alexnet_depthwisesep,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/int2_qat_alexnet_depthwisesep_meta.json,9.5,
phase_4,phase_4_compression_and_final_architecture,int2_qat_alexnet_final_fire_residual,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/int2_qat_alexnet_final_fire_residual_meta.json,29.11,
phase_4,phase_4_compression_and_final_architecture,int2_qat_alexnet_fire,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/int2_qat_alexnet_fire_meta.json,27.32,
phase_4,phase_4_compression_and_final_architecture,int2_qat_mobilenetv2,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/int2_qat_mobilenetv2_meta.json,0.93,
phase_4,phase_4_compression_and_final_architecture,int4_qat_alexnet_bottleneck,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/int4_qat_alexnet_bottleneck_meta.json,44.46,
phase_4,phase_4_compression_and_final_architecture,int4_qat_alexnet_depthwisesep,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/int4_qat_alexnet_depthwisesep_meta.json,41.38,
phase_4,phase_4_compression_and_final_architecture,int4_qat_alexnet_fire,fp32,notebooks,,,outputs/notebooks/phase_4_compression_and_final_architecture/int4_qat_alexnet_fire_meta.json,44.41,
