model,precision,top1_%,top5_%,loss,params_M,size_MB,macs,flops,int8_fp32_size_ratio
deit_tiny,FP32,46.38412296772003,72.08863496780396,2.3165831565856934,2.757896,31.66309928894043,185466816,370933632,
vit_tiny,FP32,40.345603227615356,65.57807326316833,2.6433374881744385,2.757896,31.662790298461914,185466816,370933632,
deit_tiny_INT8,INT8,47.66133725643158,71.33820056915283,2.3485100269317627,2.757896,5.396173477172852,185466816,370933632,0.1704246772538049
vit_tiny_INT8,INT8,42.44071841239929,66.37983918190002,2.650190591812134,2.757896,5.396013259887695,185466816,370933632,0.17042128027957845
