category,model,phase,top1_%,size_MB,params_M
Phase 4 Best (FP32),mobilenetv2,Phase 1,57.99558162689209,9.693723678588867,2.480072
Best Tiny (<10MB),alexnet_final_fire_residual,Phase 4,49.79329109191895,2.7145843505859375,0.698664
Most Efficient,alexnet_depthwisesep,Phase 3,44.39001083374024,1.2304954528808594,0.313641
