device,kernel_size,in_ch,out_ch,batch_size,input_resolution,precision,groups_mode,latency_median_ms,latency_mean_ms,latency_std_ms,n,cudnn_kernel_name
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,fp32,depthwise,0.010828971862792969,0.010828971862792969,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,fp32_cpu,dense,0.12463927268981934,0.12463927268981934,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,fp32_cpu,depthwise,0.08753299713134766,0.08753299713134766,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,int8,dense,0.13684391975402832,0.13684391975402832,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,int8,depthwise,0.8710956573486328,0.8710956573486328,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,128.0,fp32,dense,0.025813579559326172,0.025813579559326172,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,128.0,fp32,depthwise,0.030453205108642578,0.030453205108642578,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,8.0,64.0,fp32,dense,0.046564340591430664,0.046564340591430664,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,8.0,64.0,fp32,depthwise,0.05874514579772949,0.05874514579772949,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,8.0,128.0,fp32,dense,0.15522003173828125,0.15522003173828125,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,8.0,128.0,fp32,depthwise,0.25554776191711426,0.25554776191711426,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,64.0,64.0,fp32,dense,0.3779458999633789,0.3779458999633789,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,64.0,64.0,fp32,depthwise,0.5987608432769775,0.5987608432769775,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,64.0,128.0,fp32,dense,1.5629863739013672,1.5629863739013672,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,64.0,128.0,fp32,depthwise,2.1859514713287354,2.1859514713287354,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,1.0,64.0,fp32,dense,0.026415586471557617,0.026415586471557617,,1,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,1.0,64.0,fp32,depthwise,0.016335248947143555,0.016335248947143555,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,1.0,64.0,fp32_cpu,dense,0.2976071834564209,0.2976071834564209,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,1.0,64.0,fp32_cpu,depthwise,0.08591055870056152,0.08591055870056152,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,1.0,64.0,int8,dense,0.28592944145202637,0.28592944145202637,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,64.0,64.0,1.0,64.0,int8,depthwise,1.5371620655059814,1.5371620655059814,,1,
