model,precision,top1_%,top5_%,loss,params_M,size_MB
resnet18_tv,FP32,46.95069491863251,73.50143790245056,2.2670252323150635,11.279112,129.20855903625488
mobilenetv2,FP32,45.82230746746063,72.97176122665405,2.340923309326172,2.480072,28.751802444458008
alexnet_tv,FP32,19.62716281414032,45.42696475982666,3.599759817123413,57.82324,661.7539577484131
vgg_style,FP32,10.632294416427612,30.417612195014954,4.160061836242676,2.405288,27.58469009399414
alexnet_tv_INT8,INT8,23.493534326553345,49.1888552904129,3.4384660720825195,57.82324,55.33261299133301
vgg_style_INT8,INT8,14.468632638454437,37.02200949192047,3.905733823776245,2.405288,2.3767032623291016
