method,mean_top1,mean_drop_pp,mean_ratio,mean_acc_per_mb,n
int4_ptq,25.310648754239082,22.845018431544304,7.861742048696891,106.21461110638727,5
int4_qat,43.30582320690155,1.0239978631337483,7.864515301743347,230.1746131508355,3
int8,47.39993453025818,0.7557326555252075,3.9700448356872315,90.75917244993478,5
mixed,44.52481269836426,-0.19499162832895914,7.051900425227963,215.3147760318932,3
