model,method,precision,fp32_baseline_acc,compressed_top1_acc,top5_acc,acc_drop_pp,compression_ratio,fp32_size_mb,compressed_size_mb,latency_ms,throughput_img_s,params_m,acc_per_mb,training_time_hrs,calibration_time_min,top1_%,top5_%,size_MB,notes
alexnet_final_fire_residual,binary_qat,binary,49.793291091918945,16.92291498184204,39.07678425312042,32.870376110076904,30.402816655003498,2.6517105102539062,0.08721923828125,0.08350828149996233,11974.860241860577,0.698664,194.0273191480056,0.12249718301826053,,16.92291498184204,39.07678425312042,0.08721923828125,"weight-only BWN QAT (STE), per-channel, A=FP32"
alexnet_fire,binary_qat,binary,43.976473808288574,15.851357579231262,38.744109869003296,28.125116229057312,30.579462611955844,1.9601516723632812,0.06410026550292969,0.14348694889995386,6969.2749596149615,0.516152,247.29004560061892,0.18525983697838252,,15.851357579231262,38.744109869003296,0.06410026550292969,"weight-only BWN QAT (STE), per-channel, A=FP32"
alexnet_bottleneck,binary_qat,binary,44.62297856807709,12.624388933181763,33.01782011985779,31.998589634895325,29.755546905410664,1.4580154418945312,0.048999786376953125,0.10213731410003675,9790.741109762943,0.385,257.64171370182953,0.150749468670951,,12.624388933181763,33.01782011985779,0.048999786376953125,"weight-only BWN QAT (STE), per-channel, A=FP32"
alexnet_depthwisesep,binary_qat,binary,44.390010833740234,4.683564975857735,16.134560108184814,39.7064458578825,28.896347689488152,1.1841373443603516,0.04097878932952881,0.10846253390009224,9219.773538769867,0.313641,114.29241938299079,0.13829201969835495,,4.683564975857735,16.134560108184814,0.04097878932952881,"weight-only BWN QAT (STE), per-channel, A=FP32"
mobilenetv2,binary_qat,binary,57.99558162689209,3.561827167868614,12.738943099975586,54.433754459023476,28.871847355543007,9.362556457519531,0.32427978515625,0.12440643939989969,8038.169123911172,2.480072,10.983808830860037,0.19829126563337113,,3.561827167868614,12.738943099975586,0.32427978515625,"weight-only BWN QAT (STE), per-channel, A=FP32"
alexnet_final_fire_residual,int2_qat,int2,49.793291091918945,28.976917266845703,55.681854486465454,20.816373825073242,15.603367003367003,2.6517105102539062,0.16994476318359375,0.13369203810034377,7479.876993493366,0.698664,170.50785634118967,0.20045032991303338,,28.976917266845703,55.681854486465454,0.16994476318359375,"fake-quant W2/A8 QAT, per-channel"
alexnet_fire,int2_qat,int2,43.976473808288574,27.147138118743896,53.74428033828735,16.829335689544678,15.648262630569175,1.9601516723632812,0.12526321411132812,0.24688768420000995,4050.4248044623996,0.516152,216.7207532661327,0.3902617457177904,,27.147138118743896,53.74428033828735,0.12526321411132812,"fake-quant W2/A8 QAT, per-channel"
alexnet_bottleneck,int2_qat,int2,44.62297856807709,20.460297167301178,45.459166169166565,24.16268140077591,15.436591276252019,1.4580154418945312,0.094451904296875,0.13424077039999247,7449.301706332103,0.385,216.62133039680938,0.20730737924575807,,20.460297167301178,45.459166169166565,0.094451904296875,"fake-quant W2/A8 QAT, per-channel"
alexnet_depthwisesep,int2_qat,int2,44.390010833740234,9.482219815254211,25.78941583633423,34.90779101848602,15.209547170851362,1.1841373443603516,0.07785487174987793,0.10234139429994685,9771.217275671996,0.313641,121.79353201836183,0.1440333341889911,,9.482219815254211,25.78941583633423,0.07785487174987793,"fake-quant W2/A8 QAT, per-channel"
mobilenetv2,int2_qat,int2,57.99558162689209,0.958423875272274,3.33046093583107,57.037157751619816,15.202975755398358,9.362556457519531,0.6158370971679688,0.295501998400141,3384.071868935025,2.480072,1.556294480601686,0.10757058189974891,,0.958423875272274,3.33046093583107,0.6158370971679688,"fake-quant W2/A8 QAT, per-channel"
alexnet_bottleneck,int4_qat,int4,44.62297856807709,44.337183237075806,70.71545124053955,0.28579533100128174,7.866021815188311,1.4580154418945312,0.18535614013671875,0.1909397260998958,5237.25481556845,0.385,239.1999704157234,9.934107462565104e-10,,44.337183237075806,70.71545124053955,0.18535614013671875,"fake-quant W4/A8 QAT, per-channel"
