cluster_k,bits_per_weight,size_mb,top1,top5,top1_drop_pp
,32.0,,53.45815420150757,78.21871042251587,0.0
16.0,4.0,5.373687744140625,41.8042778968811,67.40543842315674,11.653876304626465
32.0,5.0,6.717155456542969,45.81336975097656,71.95808291435242,7.644784450531006
64.0,6.0,8.060684204101562,52.94826626777649,77.58908867835999,0.5098879337310791
