cluster_k,bits_per_weight,size_mb,top1,top5,top1_drop_pp
,32.0,,51.65659785270691,75.29305219650269,0.0
16.0,4.0,1.1454925537109375,46.57845497131348,71.01333737373352,5.078142881393433
32.0,5.0,1.4319114685058594,49.86649751663208,74.30423498153687,1.790100336074829
64.0,6.0,1.7183914184570312,51.38034224510193,74.99135732650757,0.27625560760498047
