cluster_k,bits_per_weight,size_mb,top1,top5,top1_drop_pp
,32.0,,49.80199337005615,74.43971633911133,0.0
16.0,4.0,0.2399749755859375,24.009597301483154,46.97076678276062,25.792396068572998
32.0,5.0,0.3000144958496094,45.156967639923096,71.32047414779663,4.645025730133057
64.0,6.0,0.36011505126953125,48.097097873687744,73.24603199958801,1.7048954963684082
